Title,Note,URL,Comment
little lunch coffee + snacks,,https://www.google.com/maps/place/little+lunch+coffee+%2B+snacks/data=!4m2!3m1!1s0x80c2bb45d9204ea1:0xf3c7c233c81888e1,
KOTOYA JAPANESE RAMEN,,https://www.google.com/maps/place/KOTOYA+JAPANESE+RAMEN/data=!4m2!3m1!1s0x80c2bbcb9c49677b:0x3a5cf2140f47affe,
Layla Bagels,,https://www.google.com/maps/place/Layla+Bagels/data=!4m2!3m1!1s0x80c2bb0b860c8a95:0xf49545f594b16c50,
The Boy & The Bear - Coffee Roastery,,https://www.google.com/maps/place/The+Boy+%26+The+Bear+-+Coffee+Roastery/data=!4m2!3m1!1s0x80c2ba61237c4421:0x3e3a0a1933f625fc,
Little Dynamite,,https://www.google.com/maps/place/Little+Dynamite/data=!4m2!3m1!1s0x80c2b915d01a5555:0xb2c347e7895fde74,
"Bacio di Latte | Westfield Century City, LA",,"https://www.google.com/maps/place/Bacio+di+Latte+%7C+Westfield+Century+City,+LA/data=!4m2!3m1!1s0x80c2bb8b88b39c21:0x5d4e47d8aca0ef5c",
Jitlada Restaurant,,https://www.google.com/maps/place/Jitlada+Restaurant/data=!4m2!3m1!1s0x80c2bf5410a61eb1:0x284d8605a71cb6f9,
Ba Le Sandwich Shop,,https://www.google.com/maps/place/Ba+Le+Sandwich+Shop/data=!4m2!3m1!1s0x80c2c53e37185003:0xb88607e43ee2637b,
The Waterfront Venice,,https://www.google.com/maps/place/The+Waterfront+Venice/data=!4m2!3m1!1s0x80c2bb79b53b7c61:0x6191e433c9e88862,
Small World Books,,https://www.google.com/maps/place/Small+World+Books/data=!4m2!3m1!1s0x80c2bab82602d3b7:0x9038da9eca2f12e4,
Fia Restaurant,,https://www.google.com/maps/place/Fia+Restaurant/data=!4m2!3m1!1s0x80c2bbd8a57b4c27:0xb90b123f4b0fef91,
Gjelina Take Away,,https://www.google.com/maps/place/Gjelina+Take+Away/data=!4m2!3m1!1s0x80c2babfbc481ec7:0x3df7ed6362243152,
Supita,,https://www.google.com/maps/place/Supita/data=!4m2!3m1!1s0x80c2bbe6fbd4acf7:0x38c5ad97f6925247,
Santa Monica Brew Works,,https://www.google.com/maps/place/Santa+Monica+Brew+Works/data=!4m2!3m1!1s0x80c2bb37321c4e73:0xd2e21dfa0cc81cff,
Bodega Wine Bar,,https://www.google.com/maps/place/Bodega+Wine+Bar/data=!4m2!3m1!1s0x80c2a4cda7123a17:0x9209c23ec26b0f6f,
Xiaolongkan Hot Pot,,https://www.google.com/maps/place/Xiaolongkan+Hot+Pot/data=!4m2!3m1!1s0x80c2c5a290f92995:0x2518f26782a2ca1,
Angel City Books & Records,,https://www.google.com/maps/place/Angel+City+Books+%26+Records/data=!4m2!3m1!1s0x80c2bad1e2d8da3f:0x6912cd706c9cfd2d,
Bar Bohemien,,https://www.google.com/maps/place/Bar+Bohemien/data=!4m2!3m1!1s0x80c2bb2e7f105ae1:0xf9b21adcd3a40ed9,
The Streamliner,,https://www.google.com/maps/place/The+Streamliner/data=!4m2!3m1!1s0x80c2c7738717f3c7:0x9b45bea7db2b369f,
Bay Cities Italian Deli & Bakery,,https://www.google.com/maps/place/Bay+Cities+Italian+Deli+%26+Bakery/data=!4m2!3m1!1s0x80c2a4cd75122057:0xef794b2444eedd6a,
