Title,Note,URL,Comment
Ggiata Delicatessen,,https://www.google.com/maps/place/Ggiata+Delicatessen/data=!4m2!3m1!1s0x80c2bbf0c0af9755:0xb253afd4a534d856,
Chong Qing YaoMei Hotpot,,https://www.google.com/maps/place/Chong+Qing+YaoMei+Hotpot/data=!4m2!3m1!1s0x80c2c35a462831b5:0x7569456a9f1faf5a,
The Corner Door,,https://www.google.com/maps/place/The+Corner+Door/data=!4m2!3m1!1s0x80c2ba665e703291:0x377abc231e3a9d09,
Girl & the Goat Los Angeles,,https://www.google.com/maps/place/Girl+%26+the+Goat+Los+Angeles/data=!4m2!3m1!1s0x80c2c757501d5a5d:0x7652aeb4ecd9ad7b,
Capri Gelato & Coffee Bar,,https://www.google.com/maps/place/Capri+Gelato+%26+Coffee+Bar/data=!4m2!3m1!1s0x80c2bbca1c2a1e05:0xe16ceebfeb17aebb,
Abhiruchi Grill Indian Restaurant,,https://www.google.com/maps/place/Abhiruchi+Grill+Indian+Restaurant/data=!4m2!3m1!1s0x80c2ba30c7d3f275:0xc48a31b95dfcdb95,
Villa's Tacos Los Angeles,,https://www.google.com/maps/place/Villa's+Tacos+Los+Angeles/data=!4m2!3m1!1s0x80c2c1d2f9f06b11:0x662e3a2c9bf98891,
Guelaguetza Restaurant,,https://www.google.com/maps/place/Guelaguetza+Restaurant/data=!4m2!3m1!1s0x80c2b87f94d62329:0xe605cc1bb679a2ac,
Mizlala,,https://www.google.com/maps/place/Mizlala/data=!4m2!3m1!1s0x80c297eba38b2779:0x72f8447720695008,
Ahgassi Gopchang,,https://www.google.com/maps/place/Ahgassi+Gopchang/data=!4m2!3m1!1s0x80c2b89cb666c44d:0x822a072de7309428,
Wood Ranch,,https://www.google.com/maps/place/Wood+Ranch/data=!4m2!3m1!1s0x80c2bb66310502c5:0xb8efa04459cc19a2,
Jaipur Cuisine of India,,https://www.google.com/maps/place/Jaipur+Cuisine+of+India/data=!4m2!3m1!1s0x80c2bba2e2097585:0x7e8be00ccd35958d,
Please Enjoy Coffee Bar,,https://www.google.com/maps/place/Please+Enjoy+Coffee+Bar/data=!4m2!3m1!1s0x80c2bb21856958b5:0x8f7f160386d387e9,
Baba Sweets,,https://www.google.com/maps/place/Baba+Sweets/data=!4m2!3m1!1s0x80c29c6c149d2d1d:0x2fa1f95e17f8f779,
Bludso's BBQ,,https://www.google.com/maps/place/Bludso's+BBQ/data=!4m2!3m1!1s0x80c2bb3257cbe647:0x99fe35b3d2658b8c,
Angel Maid Bakery,,https://www.google.com/maps/place/Angel+Maid+Bakery/data=!4m2!3m1!1s0x80c2ba71fec88333:0x237164ca8e98a779,
Bistro Na's,,https://www.google.com/maps/place/Bistro+Na's/data=!4m2!3m1!1s0x80c2dafbe7f214b5:0xbc5c6d9eb0cf75ee,
Moo's Craft Barbecue,,https://www.google.com/maps/place/Moo's+Craft+Barbecue/data=!4m2!3m1!1s0x80c2cf0c5ae4fcdd:0xe6501d37c5c212b8,
Baar Baar - LA,,https://www.google.com/maps/place/Baar+Baar+-+LA/data=!4m2!3m1!1s0x80c2c7b71cc1fd5b:0x49d0d4dd6a3e7c43,
Ghost Sando Shop,,https://www.google.com/maps/place/Ghost+Sando+Shop/data=!4m2!3m1!1s0x80c2bf79e2244875:0xe6758e5d14fef75d,
lorenzo California,,https://www.google.com/maps/place/lorenzo+California/data=!4m2!3m1!1s0x80c2bdb57e6b650d:0xcc4857be2ef9ca2a,
The Place To Be,,https://www.google.com/maps/place/The+Place+To+Be/data=!4m2!3m1!1s0x80c2bb58b14553dd:0xe853dd21ded21fe9,
Raising Cane's Chicken Fingers,,https://www.google.com/maps/place/Raising+Cane's+Chicken+Fingers/data=!4m2!3m1!1s0x80c2db880217f923:0x3f85e303086db8ed,
Endless Noise Coffee + Vinyl,,https://www.google.com/maps/place/Endless+Noise+Coffee+%2B+Vinyl/data=!4m2!3m1!1s0x80c2bb926039a21b:0xd4296ebcddbff374,
Desert 5 Spot,,https://www.google.com/maps/place/Desert+5+Spot/data=!4m2!3m1!1s0x80c2bf7e81fd4cfd:0xf5026c3489ac2182,
Offhand Wine Bar,,https://www.google.com/maps/place/Offhand+Wine+Bar/data=!4m2!3m1!1s0x80c2bb7de72f3661:0x10acf28448bb2b32,
Croft Alley,,https://www.google.com/maps/place/Croft+Alley/data=!4m2!3m1!1s0x80c2beb6db7d0bc9:0xff8e1338f51016dc,
House Of Bread,,https://www.google.com/maps/place/House+Of+Bread/data=!4m2!3m1!1s0x80c2bb378aa9c3fb:0xa6b6bb7c556a17ed,
Des Croissants Paris,,https://www.google.com/maps/place/Des+Croissants+Paris/data=!4m2!3m1!1s0x80c2b91cfc01e543:0x2c855d327e16a37a,
Super Domestic Arts District,,https://www.google.com/maps/place/Super+Domestic+Arts+District/data=!4m2!3m1!1s0x80c2b9dd6289b183:0x774f333d030267e8,
LA Puglia,,https://www.google.com/maps/place/LA+Puglia/data=!4m2!3m1!1s0x80c2a5df0c426eff:0xff0f89013a938c7d,
Pitchoun!,,https://www.google.com/maps/place/Pitchoun!/data=!4m2!3m1!1s0x80c2c7b4c1a69c51:0xfce684209e4812d5,
APOTHEKE LOS ANGELES,,https://www.google.com/maps/place/APOTHEKE+LOS+ANGELES/data=!4m2!3m1!1s0x80c2c661ab09ebf1:0x99d5e38bca4e164c,
L’Antica Pizzeria da Michele,,https://www.google.com/maps/place/L%E2%80%99Antica+Pizzeria+da+Michele/data=!4m2!3m1!1s0x80c2bf55a665f29b:0xe0fcf53cb8bb407d,
Dayglow,,https://www.google.com/maps/place/Dayglow/data=!4m2!3m1!1s0x80c2c73f4c326ff9:0x15f057111ab67b3d,
Grandmaster Recorders,,https://www.google.com/maps/place/Grandmaster+Recorders/data=!4m2!3m1!1s0x80c2bf3a19444225:0x579df5435c14f766,
Lonzo's Restaurant,,https://www.google.com/maps/place/Lonzo's+Restaurant/data=!4m2!3m1!1s0x80c2ba3af65d54cb:0x4e9eecfa04e4696f,
